,n_estimators,lr,max_features,max_depth,train acc,test acc,R2 score
372,400.0,0.2,18.0,5.0,0.9269662921348315,0.8435754189944135,0.6906417112299466
374,400.0,0.2,18.0,10.0,0.9269662921348315,0.8435754189944135,0.6906417112299466
378,450.0,0.1,5.0,7.0,0.9269662921348315,0.8435754189944135,0.6906417112299466
379,450.0,0.1,5.0,10.0,0.9269662921348315,0.8435754189944135,0.6906417112299466
383,450.0,0.1,7.0,7.0,0.9269662921348315,0.8435754189944135,0.6906417112299466
393,450.0,0.1,15.0,7.0,0.9269662921348315,0.8435754189944135,0.6906417112299466
407,450.0,0.125,7.0,5.0,0.9269662921348315,0.8435754189944135,0.6906417112299466
408,450.0,0.125,7.0,7.0,0.9269662921348315,0.8435754189944135,0.6906417112299466
413,450.0,0.125,10.0,7.0,0.9269662921348315,0.8435754189944135,0.6906417112299466
423,450.0,0.125,18.0,7.0,0.9269662921348315,0.8435754189944135,0.6906417112299466
427,450.0,0.15,5.0,5.0,0.9269662921348315,0.8435754189944135,0.6906417112299466
433,450.0,0.15,7.0,7.0,0.9269662921348315,0.8435754189944135,0.6906417112299466
438,450.0,0.15,10.0,7.0,0.9269662921348315,0.8435754189944135,0.6906417112299466
442,450.0,0.15,15.0,5.0,0.9269662921348315,0.8435754189944135,0.6906417112299466
468,450.0,0.175,15.0,7.0,0.9269662921348315,0.8435754189944135,0.6906417112299466
483,450.0,0.2,7.0,7.0,0.9269662921348315,0.8435754189944135,0.6906417112299466
494,450.0,0.2,15.0,10.0,0.9269662921348315,0.8435754189944135,0.6906417112299466
498,450.0,0.2,18.0,7.0,0.9269662921348315,0.8435754189944135,0.6906417112299466
513,500.0,0.1,10.0,7.0,0.9269662921348315,0.8435754189944135,0.6906417112299466
517,500.0,0.1,15.0,5.0,0.9269662921348315,0.8435754189944135,0.6906417112299466
518,500.0,0.1,15.0,7.0,0.9269662921348315,0.8435754189944135,0.6906417112299466
524,500.0,0.1,18.0,10.0,0.9269662921348315,0.8435754189944135,0.6906417112299466
534,500.0,0.125,7.0,10.0,0.9269662921348315,0.8435754189944135,0.6906417112299466
542,500.0,0.125,15.0,5.0,0.9269662921348315,0.8435754189944135,0.6906417112299466
547,500.0,0.125,18.0,5.0,0.9269662921348315,0.8435754189944135,0.6906417112299466
554,500.0,0.15,5.0,10.0,0.9269662921348315,0.8435754189944135,0.6906417112299466
562,500.0,0.15,10.0,5.0,0.9269662921348315,0.8435754189944135,0.6906417112299466
579,500.0,0.175,5.0,10.0,0.9269662921348315,0.8435754189944135,0.6906417112299466
582,500.0,0.175,7.0,5.0,0.9269662921348315,0.8435754189944135,0.6906417112299466
598,500.0,0.175,18.0,7.0,0.9269662921348315,0.8435754189944135,0.6906417112299466
602,500.0,0.2,5.0,5.0,0.9269662921348315,0.8435754189944135,0.6906417112299466
607,500.0,0.2,7.0,5.0,0.9269662921348315,0.8435754189944135,0.6906417112299466
608,500.0,0.2,7.0,7.0,0.9269662921348315,0.8435754189944135,0.6906417112299466
612,500.0,0.2,10.0,5.0,0.9269662921348315,0.8435754189944135,0.6906417112299466
624,500.0,0.2,18.0,10.0,0.9269662921348315,0.8435754189944135,0.6906417112299466
8,300.0,0.1,7.0,7.0,0.9269662921348315,0.8379888268156425,0.6906417112299466
18,300.0,0.1,15.0,7.0,0.9269662921348315,0.8379888268156425,0.6906417112299466
19,300.0,0.1,15.0,10.0,0.9269662921348315,0.8379888268156425,0.6906417112299466
34,300.0,0.125,7.0,10.0,0.9269662921348315,0.8379888268156425,0.6906417112299466
38,300.0,0.125,10.0,7.0,0.9269662921348315,0.8379888268156425,0.6906417112299466
43,300.0,0.125,15.0,7.0,0.9269662921348315,0.8379888268156425,0.6906417112299466
47,300.0,0.125,18.0,5.0,0.9269662921348315,0.8379888268156425,0.6906417112299466
58,300.0,0.15,7.0,7.0,0.9269662921348315,0.8379888268156425,0.6906417112299466
62,300.0,0.15,10.0,5.0,0.9269662921348315,0.8379888268156425,0.6906417112299466
68,300.0,0.15,15.0,7.0,0.9269662921348315,0.8379888268156425,0.6906417112299466
69,300.0,0.15,15.0,10.0,0.9269662921348315,0.8379888268156425,0.6906417112299466
87,300.0,0.175,10.0,5.0,0.9269662921348315,0.8379888268156425,0.6906417112299466
93,300.0,0.175,15.0,7.0,0.9269662921348315,0.8379888268156425,0.6906417112299466
103,300.0,0.2,5.0,7.0,0.9269662921348315,0.8379888268156425,0.6906417112299466
118,300.0,0.2,15.0,7.0,0.9269662921348315,0.8379888268156425,0.6906417112299466
122,300.0,0.2,18.0,5.0,0.9269662921348315,0.8379888268156425,0.6906417112299466
123,300.0,0.2,18.0,7.0,0.9269662921348315,0.8379888268156425,0.6906417112299466
124,300.0,0.2,18.0,10.0,0.9269662921348315,0.8379888268156425,0.6906417112299466
128,350.0,0.1,5.0,7.0,0.9269662921348315,0.8379888268156425,0.6906417112299466
133,350.0,0.1,7.0,7.0,0.9269662921348315,0.8379888268156425,0.6906417112299466
134,350.0,0.1,7.0,10.0,0.9269662921348315,0.8379888268156425,0.6906417112299466
142,350.0,0.1,15.0,5.0,0.9269662921348315,0.8379888268156425,0.6906417112299466
159,350.0,0.125,7.0,10.0,0.9269662921348315,0.8379888268156425,0.6906417112299466
163,350.0,0.125,10.0,7.0,0.9269662921348315,0.8379888268156425,0.6906417112299466
164,350.0,0.125,10.0,10.0,0.9269662921348315,0.8379888268156425,0.6906417112299466
169,350.0,0.125,15.0,10.0,0.9269662921348315,0.8379888268156425,0.6906417112299466
173,350.0,0.125,18.0,7.0,0.9269662921348315,0.8379888268156425,0.6906417112299466
179,350.0,0.15,5.0,10.0,0.9269662921348315,0.8379888268156425,0.6906417112299466
183,350.0,0.15,7.0,7.0,0.9269662921348315,0.8379888268156425,0.6906417112299466
184,350.0,0.15,7.0,10.0,0.9269662921348315,0.8379888268156425,0.6906417112299466
187,350.0,0.15,10.0,5.0,0.9269662921348315,0.8379888268156425,0.6906417112299466
192,350.0,0.15,15.0,5.0,0.9269662921348315,0.8379888268156425,0.6906417112299466
197,350.0,0.15,18.0,5.0,0.9269662921348315,0.8379888268156425,0.6906417112299466
203,350.0,0.175,5.0,7.0,0.9269662921348315,0.8379888268156425,0.6906417112299466
208,350.0,0.175,7.0,7.0,0.9269662921348315,0.8379888268156425,0.6906417112299466
219,350.0,0.175,15.0,10.0,0.9269662921348315,0.8379888268156425,0.6906417112299466
228,350.0,0.2,5.0,7.0,0.9269662921348315,0.8379888268156425,0.6906417112299466
229,350.0,0.2,5.0,10.0,0.9269662921348315,0.8379888268156425,0.6906417112299466
248,350.0,0.2,18.0,7.0,0.9269662921348315,0.8379888268156425,0.6906417112299466
253,400.0,0.1,5.0,7.0,0.9269662921348315,0.8379888268156425,0.6906417112299466
258,400.0,0.1,7.0,7.0,0.9269662921348315,0.8379888268156425,0.6906417112299466
262,400.0,0.1,10.0,5.0,0.9269662921348315,0.8379888268156425,0.6906417112299466
267,400.0,0.1,15.0,5.0,0.9269662921348315,0.8379888268156425,0.6906417112299466
269,400.0,0.1,15.0,10.0,0.9269662921348315,0.8379888268156425,0.6906417112299466
273,400.0,0.1,18.0,7.0,0.9269662921348315,0.8379888268156425,0.6906417112299466
309,400.0,0.15,7.0,10.0,0.9269662921348315,0.8379888268156425,0.6906417112299466
317,400.0,0.15,15.0,5.0,0.9269662921348315,0.8379888268156425,0.6906417112299466
322,400.0,0.15,18.0,5.0,0.9269662921348315,0.8379888268156425,0.6906417112299466
328,400.0,0.175,5.0,7.0,0.9269662921348315,0.8379888268156425,0.6906417112299466
333,400.0,0.175,7.0,7.0,0.9269662921348315,0.8379888268156425,0.6906417112299466
334,400.0,0.175,7.0,10.0,0.9269662921348315,0.8379888268156425,0.6906417112299466
338,400.0,0.175,10.0,7.0,0.9269662921348315,0.8379888268156425,0.6906417112299466
343,400.0,0.175,15.0,7.0,0.9269662921348315,0.8379888268156425,0.6906417112299466
353,400.0,0.2,5.0,7.0,0.9269662921348315,0.8379888268156425,0.6906417112299466
363,400.0,0.2,10.0,7.0,0.9269662921348315,0.8379888268156425,0.6906417112299466
387,450.0,0.1,10.0,5.0,0.9269662921348315,0.8379888268156425,0.6906417112299466
388,450.0,0.1,10.0,7.0,0.9269662921348315,0.8379888268156425,0.6906417112299466
392,450.0,0.1,15.0,5.0,0.9269662921348315,0.8379888268156425,0.6906417112299466
